grep;output
Summary;Summary
Astronomical Low Tide;Astronomical Low Tide
Avalanche;Avalanche
Blizzard;Blizzard
Coastal Flood;Coastal Flood
Cold Wind Chill;Cold Wind Chill
Debris Flow;Debris Flow
Dense Fog;Dense Fog
Dense Smoke;Dense Smoke
Drought;Drought
Dust Devil;Dust Devil
Dust Storm;Dust Storm
Excessive Heat;Excessive Heat
Extreme Cold Wind Chill;Extreme Cold Wind Chill
Flash Flood;Flash Flood
Flood;Flood
Frost Freeze;Frost Freeze
Funnel Cloud;Funnel Cloud
Freezing Fog;Freezing Fog
Hail;Hail
Heat;Heat
Heavy Rain;Heavy Rain
Heavy Snow;Heavy Snow
High Surf;High Surf
High Wind;High Wind
Hurricane  Typhoon ;Hurricane  Typhoon 
Ice Storm;Ice Storm
Lake-Effect Snow;Lake-Effect Snow
Lakeshore Flood;Lakeshore Flood
Lightning;Lightning
Marine Hail;Marine Hail
Marine High Wind;Marine High Wind
Marine Strong Wind;Marine Strong Wind
Marine Thunderstorm Wind;Marine Thunderstorm Wind
Rip Current;Rip Current
Seiche;Seiche
Sleet;Sleet
Storm Surge Tide;Storm Surge Tide
Strong Wind;Strong Wind
Thunderstorm Wind;Thunderstorm Wind
Tornado;Tornado
Tropical Depression;Tropical Depression
Tropical Storm;Tropical Storm
Tsunami;Tsunami
Volcanic Ash;Volcanic Ash
Waterspout;Waterspout
Wildfire;Wildfire
Winter Storm;Winter Storm
Winter Weather;Winter Weather
landslide;Avalanche
landslides;Avalanche
landspout;Avalanche
landslump;Avalanche
wind;Cold/Wind Chill
warmth;Heat
hot;Heat
dry;Drought
below normal;Drought
driest;Drought
dryness;Drought
snow;Heavy Snow
snows;Heavy Snow
snowfall;Heavy Snow
blowing-snow;Heavy Snow
freeze;Frost/Freeze
cool;Frost/Freeze
frost;Frost/Freeze
cold;Frost/Freeze
glaze;Frost/Freeze
ice;Frost/Freeze
low temperature;Frost/Freeze
beach;Coastal Flood
devel;Dust Storm
flash;Flash Flood
flashflooding;Flash Flood
high tide;Storm Surge/Tide
blow-out;Storm Surge/Tide
windchill;Cold/Wind Chill
wind chill;Cold/Wind Chill
wind chills;Cold/Wind Chill
fire;Wildfire
fires;Wildfire
Coastal flooding;Coastal Flood
coastal flood;Coastal Flood
coastal erosion;Coastal Flood
cstl flooding;Coastal Flood
coastal storm;Marine Strong Wind
coastalstorm;Marine Strong Wind
precipitation;Heavy Rain
precipatation;Heavy Rain
precip;Heavy Rain
rainfall;Heavy Rain
shower;Heavy Rain
showers;Heavy Rain
