"evtype" "output"
"1" "   HIGH SURF ADVISORY" "High Surf"
"2" " COASTAL FLOOD" "Coastal Flood"
"3" " FLASH FLOOD" "Flash Flood"
"4" " LIGHTNING" "Lightning"
"5" " TSTM WIND" "Thunderstorm Wind"
"6" " TSTM WIND (G45)" "Thunderstorm Wind"
"7" " WATERSPOUT" "Waterspout"
"8" " WIND" "Cold/Wind Chill"
"9" "?" "Other"
"10" "ABNORMAL WARMTH" "Heat"
"11" "ABNORMALLY DRY" "Drought"
"12" "ABNORMALLY WET" "Heavy Rain"
"13" "ACCUMULATED SNOWFALL" "Heavy Snow"
"14" "AGRICULTURAL FREEZE" "Frost/Freeze"
"15" "APACHE COUNTY" "Other"
"16" "ASTRONOMICAL HIGH TIDE" "Storm Surge/Tide"
"17" "ASTRONOMICAL LOW TIDE" "Astronomical Low Tide"
"18" "AVALANCE" "Avalanche"
"19" "AVALANCHE" "Avalanche"
"20" "BEACH EROSIN" "Coastal Flood"
"21" "BEACH EROSION" "Coastal Flood"
"22" "BEACH EROSION/COASTAL FLOOD" "Coastal Flood"
"23" "BEACH FLOOD" "Coastal Flood"
"24" "BELOW NORMAL PRECIPITATION" "Drought"
"25" "BITTER WIND CHILL" "Cold/Wind Chill"
"26" "BITTER WIND CHILL TEMPERATURES" "Cold/Wind Chill"
"27" "BLACK ICE" "Frost/Freeze"
"28" "BLIZZARD" "Blizzard"
"29" "BLIZZARD AND EXTREME WIND CHIL" "Blizzard"
"30" "BLIZZARD AND HEAVY SNOW" "Blizzard"
"31" "BLIZZARD WEATHER" "Blizzard"
"32" "BLIZZARD/FREEZING RAIN" "Blizzard"
"33" "BLIZZARD/HEAVY SNOW" "Blizzard"
"34" "BLIZZARD/HIGH WIND" "High Wind"
"35" "BLIZZARD/WINTER STORM" "Blizzard"
"36" "BLOW-OUT TIDE" "Storm Surge/Tide"
"37" "BLOW-OUT TIDES" "Storm Surge/Tide"
"38" "BLOWING DUST" "Dust Storm"
"39" "BLOWING SNOW" "Heavy Snow"
"40" "BLOWING SNOW & EXTREME WIND CH" "Heavy Snow"
"41" "BLOWING SNOW- EXTREME WIND CHI" "Heavy Snow"
"42" "BLOWING SNOW/EXTREME WIND CHIL" "Heavy Snow"
"43" "BREAKUP FLOODING" "Flood"
"44" "BRUSH FIRE" "Wildfire"
"45" "BRUSH FIRES" "Wildfire"
"46" "Beach Erosion" "Coastal Flood"
"47" "Black Ice" "Frost/Freeze"
"48" "Blizzard Summary" "Blizzard"
"49" "Blowing Snow" "Heavy Snow"
"50" "COASTAL  FLOODING/EROSION" "Coastal Flood"
"51" "COASTAL EROSION" "Coastal Flood"
"52" "COASTAL FLOOD" "Coastal Flood"
"53" "COASTAL FLOODING" "Coastal Flood"
"54" "COASTAL FLOODING/EROSION" "Coastal Flood"
"55" "COASTAL STORM" "Marine Strong Wind"
"56" "COASTAL SURGE" "Storm Surge/Tide"
"57" "COASTAL/TIDAL FLOOD" "Coastal Flood"
"58" "COASTALFLOOD" "Coastal Flood"
"59" "COASTALSTORM" "Marine Strong Wind"
"60" "COLD" "Frost/Freeze"
"61" "COLD AIR FUNNEL" "Funnel Cloud"
"62" "COLD AIR FUNNELS" "Funnel Cloud"
"63" "COLD AIR TORNADO" "Tornado"
"64" "COLD AND FROST" "Frost/Freeze"
"65" "COLD AND SNOW" "Frost/Freeze"
"66" "COLD AND WET CONDITIONS" "Frost/Freeze"
"67" "COLD TEMPERATURES" "Frost/Freeze"
"68" "COLD WAVE" "Frost/Freeze"
"69" "COLD WEATHER" "Frost/Freeze"
"70" "COLD WIND CHILL TEMPERATURES" "Cold/Wind Chill"
"71" "COLD/WIND CHILL" "Cold/Wind Chill"
"72" "COLD/WINDS" "Cold/Wind Chill"
"73" "COOL AND WET" "Frost/Freeze"
"74" "COOL SPELL" "Frost/Freeze"
"75" "CSTL FLOODING/EROSION" "Coastal Flood"
