"evtype_data";"passage_num1_output";"passage_num2_output"
"1";"   HIGH SURF ADVISORY";"High Surf";"High Surf"
"2";" COASTAL FLOOD";"Flood";"Flood"
"3";" FLASH FLOOD";"Flood";"Flood"
"4";" LIGHTNING";"Lightning";"Lightning"
"5";" TSTM WIND";NA;"Thunderstorm Wind"
"6";" TSTM WIND (G45)";NA;"Thunderstorm Wind"
"7";" WATERSPOUT";"Waterspout";"Waterspout"
"8";" WIND";NA;"Cold/Wind Chill"
"9";"?";NA;NA
"10";"ABNORMAL WARMTH";NA;"Heat"
"11";"ABNORMALLY DRY";NA;"Drought"
"12";"ABNORMALLY WET";NA;NA
"13";"ACCUMULATED SNOWFALL";NA;"Heavy Snow"
"14";"AGRICULTURAL FREEZE";NA;"Frost/Freeze"
"15";"APACHE COUNTY";NA;NA
"16";"ASTRONOMICAL HIGH TIDE";NA;"Storm Surge/Tide"
"17";"ASTRONOMICAL LOW TIDE";"Astronomical Low Tide";"Astronomical Low Tide"
"18";"AVALANCE";NA;NA
"19";"AVALANCHE";"Avalanche";"Avalanche"
"20";"BEACH EROSIN";NA;"Coastal Flood"
"21";"BEACH EROSION";NA;"Coastal Flood"
"22";"BEACH EROSION/COASTAL FLOOD";"Flood";"Flood"
"23";"BEACH FLOOD";"Flood";"Flood"
"24";"BELOW NORMAL PRECIPITATION";NA;"Heavy Rain"
"25";"BITTER WIND CHILL";NA;"Cold/Wind Chill"
"26";"BITTER WIND CHILL TEMPERATURES";NA;"Cold/Wind Chill"
"27";"BLACK ICE";NA;"Frost/Freeze"
"28";"BLIZZARD";"Blizzard";"Blizzard"
"29";"BLIZZARD AND EXTREME WIND CHIL";"Blizzard";"Blizzard"
"30";"BLIZZARD AND HEAVY SNOW";"Heavy Snow";"Heavy Snow"
"31";"BLIZZARD WEATHER";"Blizzard";"Blizzard"
"32";"BLIZZARD/FREEZING RAIN";"Blizzard";"Blizzard"
"33";"BLIZZARD/HEAVY SNOW";"Heavy Snow";"Heavy Snow"
"34";"BLIZZARD/HIGH WIND";"High Wind";"High Wind"
"35";"BLIZZARD/WINTER STORM";"Winter Storm";"Winter Storm"
"36";"BLOW-OUT TIDE";NA;"Storm Surge/Tide"
"37";"BLOW-OUT TIDES";NA;"Storm Surge/Tide"
"38";"BLOWING DUST";NA;NA
"39";"BLOWING SNOW";NA;"Heavy Snow"
"40";"BLOWING SNOW & EXTREME WIND CH";NA;"Heavy Snow"
"41";"BLOWING SNOW- EXTREME WIND CHI";NA;"Heavy Snow"
"42";"BLOWING SNOW/EXTREME WIND CHIL";NA;"Heavy Snow"
"43";"BREAKUP FLOODING";"Flood";"Flood"
"44";"BRUSH FIRE";NA;"Wildfire"
"45";"BRUSH FIRES";NA;"Wildfire"
"46";"Beach Erosion";NA;"Coastal Flood"
"47";"Black Ice";NA;"Frost/Freeze"
"48";"Blizzard Summary";"Blizzard";"Blizzard"
"49";"Blowing Snow";NA;"Heavy Snow"
"50";"COASTAL  FLOODING/EROSION";"Flood";"Flood"
"51";"COASTAL EROSION";NA;"Coastal Flood"
"52";"COASTAL FLOOD";"Flood";"Flood"
"53";"COASTAL FLOODING";"Flood";"Flood"
"54";"COASTAL FLOODING/EROSION";"Flood";"Flood"
"55";"COASTAL STORM";NA;"Marine Strong Wind"
"56";"COASTAL SURGE";NA;NA
"57";"COASTAL/TIDAL FLOOD";"Flood";"Flood"
"58";"COASTALFLOOD";"Flood";"Flood"
"59";"COASTALSTORM";NA;"Marine Strong Wind"
"60";"COLD";NA;"Frost/Freeze"
"61";"COLD AIR FUNNEL";NA;"Frost/Freeze"
"62";"COLD AIR FUNNELS";NA;"Frost/Freeze"
"63";"COLD AIR TORNADO";"Tornado";"Tornado"
"64";"COLD AND FROST";NA;"Frost/Freeze"
"65";"COLD AND SNOW";NA;"Frost/Freeze"
"66";"COLD AND WET CONDITIONS";NA;"Frost/Freeze"
"67";"COLD TEMPERATURES";NA;"Frost/Freeze"
"68";"COLD WAVE";NA;"Frost/Freeze"
"69";"COLD WEATHER";NA;"Frost/Freeze"
"70";"COLD WIND CHILL TEMPERATURES";"Cold Wind Chill";"Cold Wind Chill"
"71";"COLD/WIND CHILL";NA;"Cold/Wind Chill"
"72";"COLD/WINDS";NA;"Frost/Freeze"
"73";"COOL AND WET";NA;"Frost/Freeze"
"74";"COOL SPELL";NA;"Frost/Freeze"
"75";"CSTL FLOODING/EROSION";"Flood";"Flood"
"76";"Coastal Flood";"Flood";"Flood"
"77";"Coastal Flooding";"Flood";"Flood"
"78";"Coastal Storm";NA;"Marine Strong Wind"
"79";"Cold";NA;"Frost/Freeze"
