"grep" "output"
"1" "Astronomical Low Tide" "Astronomical Low Tide"
"2" "Avalanche" "Avalanche"
"3" "Blizzard" "Blizzard"
"4" "Coastal Flood" "Coastal Flood"
"5" "Cold Wind Chill" "Cold Wind Chill"
"6" "Debris Flow" "Debris Flow"
"7" "Dense Fog" "Dense Fog"
"8" "Dense Smoke" "Dense Smoke"
"9" "Drought" "Drought"
"10" "Dust Devil" "Dust Devil"
"11" "Dust Storm" "Dust Storm"
"12" "Excessive Heat" "Excessive Heat"
"13" "Extreme Cold Wind Chill" "Extreme Cold Wind Chill"
"14" "Flash Flood" "Flash Flood"
"15" "Flood" "Flood"
"16" "Frost Freeze" "Frost Freeze"
"17" "Funnel Cloud" "Funnel Cloud"
"18" "Freezing Fog" "Freezing Fog"
"19" "Hail" "Hail"
"20" "Heat" "Heat"
"21" "Heavy Rain" "Heavy Rain"
"22" "Heavy Snow" "Heavy Snow"
"23" "High Surf" "High Surf"
"24" "High Wind" "High Wind"
"25" "Hurricane  Typhoon " "Hurricane  Typhoon "
"26" "Ice Storm" "Ice Storm"
"27" "Lake-Effect Snow" "Lake-Effect Snow"
"28" "Lakeshore Flood" "Lakeshore Flood"
"29" "Lightning" "Lightning"
"30" "Marine Hail" "Marine Hail"
"31" "Marine High Wind" "Marine High Wind"
"32" "Marine Strong Wind" "Marine Strong Wind"
"33" "Marine Thunderstorm Wind" "Marine Thunderstorm Wind"
"34" "Rip Current" "Rip Current"
"35" "Seiche" "Seiche"
"36" "Sleet" "Sleet"
"37" "Storm Surge Tide" "Storm Surge Tide"
"38" "Strong Wind" "Strong Wind"
"39" "Thunderstorm Wind" "Thunderstorm Wind"
"40" "Tornado" "Tornado"
"41" "Tropical Depression" "Tropical Depression"
"42" "Tropical Storm" "Tropical Storm"
"43" "Tsunami" "Tsunami"
"44" "Volcanic Ash" "Volcanic Ash"
"45" "Waterspout" "Waterspout"
"46" "Wildfire" "Wildfire"
"47" "Winter Storm" "Winter Storm"
"48" "Winter Weather" "Winter Weather"
